PRODUCT (Click to open in Browser),PRODUCT ID,PHYSICAL,LOGICAL,GMI FC,R&N A.C.N,GROUP,CLEARING ADMIN,CLEARING VENUE,MIC CODE,MARKET TYPE NAME,SYMBOL CODE
Diesel Diff - Gulf Coast 67 Grade ULSD (Platts) vs NYH ULSHO 1st Line Future,24299,DDD,DDD,RA,,Crude Oil and Refined Products,Am Ref Diff bbl,ICEU,IFED,Oil Americas,DDD
Diesel Diff - Gulf Coast ULSD (Platts) vs Gulf Coast Jet Fuel (Platts) Future,5733,JCU,JCU,ZS,,Crude Oil and Refined Products,Am Ref Diff bbl,ICEU,IFED,Oil Americas,JCU
Diesel Diff - Gulf Coast ULSD (Platts) vs NYH ULSHO 1st Line Future,23613,NYD,NYD,O0,,Crude Oil and Refined Products,Am Ref Diff bbl,ICEU,IFED,Oil Americas,NYD
Diesel Diff - Gulf Coast ULSD vs Heating Oil 1st Line Future,2924,GOH,GOH,K5,,Crude Oil and Refined Products,Am Ref Diff bbl,ICEU,IFED,Oil Americas,GOH
Diesel Diff - Gulf Coast ULSD vs Low Sulphur Gasoil 1st Line Future,4071,GUX,GUX,Y=,1287,Crude Oil and Refined Products,Am Ref Diff bbl,ICEU,IFED,Oil Americas,GUX
Diesel Diff - New York Harbour ULSD 1 Month Calendar Spread Options,5276,HOC,HOC,YC,,Crude Oil and Refined Products,Am Ref Diff gal,ICEU,IFED,Oil Americas,HOC
Diesel Diff - ULSD 10ppm CIF Med Cargoes (Platts) vs New York Harbour ULSD Future,5732,TMN,TMN,1G,,Crude Oil and Refined Products,Am Ref Diff mt,ICEU,IFED,Oil Americas,TMN
Diesel Diff - ULSD 10ppm CIF Med Cargoes vs Low Sulphur Gasoil 1st Line Balmo Future,21852,UMC,UMC,QY,,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,Oil,UMC
Diesel Diff - ULSD 10ppm CIF Med Cargoes vs Low Sulphur Gasoil 1st Line Future,3440,ULI,ULI,V=,,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,Oil,ULI
Diesel Diff - ULSD 10ppm CIF NWE Cargoes (Platts) vs New York Harbour ULSD Future,5731,TNN,TNN,1H,,Crude Oil and Refined Products,Am Ref Diff mt,ICEU,IFED,Oil Americas,TNN
Diesel Diff - ULSD 10ppm CIF NWE Cargoes vs Low Sulphur Gasoil 1st Line Balmo Future,23254,UMD,UMD,9>,,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,Oil,UMD
Diesel Diff - ULSD 10ppm CIF NWE Cargoes vs Low Sulphur Gasoil 1st Line Future,3437,ULF,ULF,V:,,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,Oil,ULF
Diesel Diff - ULSD NYH Colonial Offline (Platts) vs Heating Oil 1st Line Future,18605,UHL,UHL,,,Crude Oil and Refined Products,Am Ref Diff bbl,ICEU,IFED,Oil Americas,UHL
Diesel Diff – Diesel 10PPM CIF NWE (Le Havre) (Restricted Origin) Cargoes (Platts) vs Low Sulphur Gasoil 1st Line Future,27179,DDX,DDX,,,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,Oil,DDX
Diesel Diff – Diesel 10PPM UK CIF NWE (Restricted Origin) Cargoes (Platts) vs Low Sulphur Gasoil 1st Line Future,27181,DDZ,DDZ,,,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,Oil,DDZ
Diesel Diff – ULSD 10PPM CIF NWE (Restricted Origin) Cargoes (Platts) vs Low Sulphur Gasoil 1st Line Future,27177,DDV,DDV,,,Crude Oil and Refined Products,Ref Diffs mt,ICEU,IFEU,Oil,DDV
Diesel Outright - Diesel 10PPM FOB ARA Barges (Platts) Balmo Future,23247,DOS,DOS,9X,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,Oil,DOS
Diesel Outright - Diesel 10PPM FOB ARA Barges (Platts) Future,2570,DOR,DOR,?S,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,Oil,DOR
Diesel Outright - Diesel 10PPM FOB ARA Barges (Platts) Mini Future,19615,DOQ,DOQ,H6,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,Oil,DOQ
Diesel Outright - Diesel 10ppm UK CIF NWE Cargoes (Platts) Future,25740,DCQ,DCQ,,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,Oil,DCQ
Diesel Outright - Diesel EIA Flat Tax On-Highway Future,21779,EIT,EIT,LE,,Crude Oil and Refined Products,Am Ref Diff bbl,ICEU,IFED,Oil Americas,EIT
Diesel Outright - Gulf Coast Export ULSD (Platts) Future,18401,GUE,GUE,7C,,Crude Oil and Refined Products,Am Ref bbl,ICEU,IFED,Oil Americas,GUE
Diesel Outright - ULSD 10PPM CIF Med Cargoes (Platts) Balmo Future,19610,UCL,UCL,H7,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,Oil,UCL
Diesel Outright - ULSD 10PPM CIF NWE (Restricted Origin) Cargoes (Platts) Future,27176,DDU,DDU,,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,Oil,DDU
Diesel Outright - ULSD 10ppm CIF Med Cargoes (Platts) Balmo Mini Future,27567,TEX,TEX,,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,Oil,TEX
Diesel Outright - ULSD 10ppm CIF Med Cargoes (Platts) Mini Future,15814,FFM,FFM,/U,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,Oil,FFM
Diesel Outright - ULSD 10ppm CIF NWE Cargoes (Platts) Balmo Mini Future,24279,DOK,DOK,P(,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,Oil,DOK
Diesel Outright - ULSD 10ppm CIF NWE Cargoes (Platts) Mini Future,19088,14Y,14Y,@I,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,Oil,14Y
Diesel Outright - ULSD 10ppm FOB Med Cargoes (Platts) Balmo Mini Future,27566,TEW,TEW,,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,Oil,TEW
Diesel Outright - ULSD 10ppm FOB Med Cargoes (Platts) Future,20496,UCO,UCO,K1,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,Oil,UCO
Diesel Outright - ULSD 10ppm FOB Med Cargoes (Platts) Mini Future,22307,FFL,FFL,Q/,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,Oil,FFL
Diesel Outright – Diesel 10PPM CIF NWE (Le Havre) (Restricted Origin) Cargoes (Platts) Future,27178,DDW,DDW,,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,Oil,DDW
Diesel Outright – Diesel 10PPM UK CIF NWE (Restricted Origin) Cargoes (Platts) Future,27180,DDY,DDY,,,Crude Oil and Refined Products,Ref Outright mt,ICEU,IFEU,Oil,DDY
Direct Line Group PLC,7632,DLE,DLE,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,DLG
Dirty FFA - Cross-UKC (Platts) Future,25769,JFG,JFG,,,Wet Freight,Wet Freight,ICEU,IFEU,Wet Freight,JFG
Dirty FFA - USGC China (Platts) Future,21790,WDD,WDD,ON,,Wet Freight,Wet Freight,ICEU,IFEU,Wet Freight,WDD
Dirty FFA - USGC UK Continent (Platts) Future,21791,WDE,WDE,OO,,Wet Freight,Wet Freight,ICEU,IFEU,Wet Freight,WDE
Dirty FFA - USGC to China (Platts) Balmo Future,23798,DUS,DUS,P6,,Wet Freight,Wet Freight,ICEU,IFEU,Wet Freight,DUS
Dirty FFA - USGC to China (Platts) Mini Future,23800,DFD,DFD,P8,,Wet Freight,Wet Freight,ICEU,IFEU,Wet Freight,DFD
Dirty FFA - USGC to UK Continent (Platts) Balmo Future,23797,DUR,DUR,P5,,Wet Freight,Wet Freight,ICEU,IFEU,Wet Freight,DUR
Dirty FFA - USGC to UK Continent (Platts) Mini Future,23799,DFC,DFC,P7,,Wet Freight,Wet Freight,ICEU,IFEU,Wet Freight,DFC
Dixons Carphone Group PLC,7608,DIX,DIX,,,Single Stock Options,O-LSE Master,ICEU,IFLO,Liffe Equity Derivatives - Non-US Based,DIX
Dollar Based Currency Pairs Aus. Dollar/US Dollar,3125,KAU,KAU,K<,,Majors,FOREX,ICUS,IFUS,Foreign Exchange,KAU
Dollar Based Currency Pairs British Pound/US Dollar Futures,845,MP,MP ,,,Majors,FOREX,ICUS,IFUS,Foreign Exchange,MP
Dollar Based Currency Pairs Euro/US Dollar,3141,KEO,KEO,K:,,Majors,FOREX,ICUS,IFUS,Foreign Exchange,KEO
Dollar Based Currency Pairs Israeli Shekel/Us Dollar,15749,ILS,ILS,IS,,Emerging Markets,FOREX,ICUS,IFUS,Foreign Exchange,ILS
Dollar Based Currency Pairs Japanese Yen/US Dollar,3458,KSN,KSN,AE,,Majors,FOREX,ICUS,IFUS,Foreign Exchange,KSN
Dollar Based Currency Pairs Mexican peso/US dollar,3462,KMP,KMP,AF,,Emerging Markets,FOREX,ICUS,IFUS,Foreign Exchange,KMP
Dollar Based Currency Pairs New Zealand Dollar/US Dollar Futures,3456,KZX,KZX,,,Majors,FOREX,ICUS,IFUS,Foreign Exchange,KZX
Dollar Based Currency Pairs Polish Zloty/Us Dollar,15753,PLN,PLN,AJ,,Emerging Markets,FOREX,ICUS,IFUS,Foreign Exchange,PLN
Dollar Based Currency Pairs Swiss Franc/US Dollar,3464,KMF,KMF,AD,,Majors,FOREX,ICUS,IFUS,Foreign Exchange,KMF
Dollar Based Currency Pairs Turkish Lira/Us Dollar,15757,TRM,TRM,AL,,Emerging Markets,FOREX,ICUS,IFUS,Foreign Exchange,TRM
Dollar Based Currency Pairs US Dollar/Czech Koruna,859,VC,VC ,,,Emerging Markets,FOREX,ICUS,IFUS,Foreign Exchange,VC
Dollar Based Currency Pairs US Dollar/Hungarian Forint,861,VU,VU ,,,Emerging Markets,FOREX,ICUS,IFUS,Foreign Exchange,VU
Dollar Based Currency Pairs US Dollar/Norw. Krone,865,NT,NT ,,,Emerging Markets,FOREX,ICUS,IFUS,Foreign Exchange,NT
Dollar Based Currency Pairs US Dollar/S.African Rand,867,ZR,ZR ,,,Emerging Markets,FOREX,ICUS,IFUS,Foreign Exchange,ZR
Dollar Based Currency Pairs US Dollar/Swedish Krona,869,KX,KX ,,,Emerging Markets,FOREX,ICUS,IFUS,Foreign Exchange,KX
Dollar Based Currency pairs Canadian Dollar/US Dollar,3460,KSV,KSV,AC,,Majors,FOREX,ICUS,IFUS,Foreign Exchange,KSV
Dubai 1st Line (Platts) Mini Future,5024,DBM,DBM,RP,EH77,Crude Oil and Refined Products,Dubai Crude,ICEU,IFEU,Dubai Crude Futures,DBM
Dubai 1st Line Balmo Future,23230,DBJ,DBJ,9N,,Crude Oil and Refined Products,Dubai Crude,ICEU,IFEU,Dubai Crude Futures,DBJ
Dutch Power Base Futures,4321,DPB,DPB,CB,,Electricity,Dutch Power BL,ICEU,NDEX,Dutch Power Futures,DPB
Dutch Power Baseload Futures (Week),4322,DPW,DPW,CD,,Electricity,Dutch Pwr BL Wk,ICEU,NDEX,Dutch Power Futures,DPW
Dutch Power Financial Base Futures,19030,NLB,NLB,AF,,Electricity,Dutch Pwr Fin,ICEU,NDEX,EU Financial Power Futures,NLB
Dutch Power Financial Peak Futures,19035,NLP,NLP,AG,,Electricity,Dutch Pwr Fin,ICEU,NDEX,EU Financial Power Futures,NLP
Dutch Power Peak Futures,4324,DPA,DPA,CA,,Electricity,Dutch Pwr 8-20,ICEU,NDEX,Dutch Power Futures,DPA
Dutch Spark Spread (TTF),24893,NLB/TFM,NLB/TFM,,,Electricity,Dutch Spark,ICEU,NDEX,EU Financial Power Futures,
Dutch TTF Gas 1st Line Financial Futures (USD/MMBTU),20481,TFU,TFU,T<,,Natural Gas,Dutch TTF USD,ICEU,IFEU,IPE Natural Gas Futures,TFU
Dutch TTF Gas Daily Futures,15897,TFE,TFE,AA,,Natural Gas,Dutch TTF Daily,ICEU,NDEX,Dutch TTF Gas Futures,TFE
Dutch TTF Gas Options (Futures Style Margin),22257,TFO,TFO,AY,,Natural Gas,O-Dutch TTF BL,ICEU,NDEX,Dutch TTF Gas Futures,TFO
Dutch TTF Natural Gas Last Day Financial Futures (USD/MMBTU),20478,TLD,TFU,LP,,Natural Gas,Dutch TTF USD,ICEU,IFED,Henry Hub,TLD
E10 Eurobob FOB Rotterdam Barge,26252,JFB,JFB,,,Crude Oil and Refined,Ref Outright mt,Bilateral,ICES,Platts Oil,JFB
E10 Eurobob FOB Rotterdam Barge (balmo),26253,JFD,JFD,,,Crude Oil and Refined,Ref Outright mt,Bilateral,ICES,Platts Oil,JFD
EGT Flex Physical Basis LD1,2443,XXN,XXN,,,Natural Gas,CEGT MO PhysGas,NGXC,IEPA,Physical Gas,XXN
EGT Flex Physical Fixed Price Monthly,2436,XXK,XXK,,,Natural Gas,CEGT MO PhysGas,NGXC,IEPA,Physical Gas,XXK
EGT Flex Physical Fixed Price Spot,2438,XXJ,XXJ,,,Natural Gas,CEGT SP PhysGas,NGXC,IEPA,Physical Gas,XXJ
EGT Flex Physical Gas Daily Monthly,2439,XXM,XXM,,,Natural Gas,CEGT MO PhysGas,NGXC,IEPA,Physical Gas,XXM
EGT Flex Physical Gas Daily Spot,2441,XXL,XXL,,,Natural Gas,CEGT SP PhysGas,NGXC,IEPA,Physical Gas,XXL
EGT Flex Physical Inside FERC,2442,XXO,XXO,,,Natural Gas,CEGT MO PhysGas,NGXC,IEPA,Physical Gas,XXO
EIA End of Draw Index,15564,EIR,EIR,(/,,Natural Gas,EIA Draw/Store,ICEU,IFED,Financial Gas,EIR
EIA End of Storage Index,15565,EIO,EIO,(\,,Natural Gas,EIA Draw/Store,ICEU,IFED,Financial Gas,EIO
EP Keystone Physical Basis LD1,1928,XSX,XSX,,,Natural Gas,EPKeyMO PhysGas,NGXC,IEPA,Physical Gas,XSX
EP Keystone Physical Fixed Price Monthly,1934,XSU,XSU,,,Natural Gas,EPKeyMO PhysGas,NGXC,IEPA,Physical Gas,XSU
EP Keystone Physical Fixed Price Spot,1932,XST,XST,,,Natural Gas,EPKeySP PhysGas,NGXC,IEPA,Physical Gas,XST
EP Keystone Physical Gas Daily Monthly,1931,XSW,XSW,,,Natural Gas,EPKeyMO PhysGas,NGXC,IEPA,Physical Gas,XSW
EP Keystone Physical Gas Daily Spot,1929,XSV,XSV,,,Natural Gas,EPKeySP PhysGas,NGXC,IEPA,Physical Gas,XSV
EP Keystone Physical Inside FERC,1935,XSY,XSY,,,Natural Gas,EPKeyMO PhysGas,NGXC,IEPA,Physical Gas,XSY
EP Permian Basis Future,441,PER,PER,NW,NE91,Natural Gas,Southwest Basis,ICEU,IFED,Financial Gas,PER
EP Permian Fixed Price Future,21727,FQP,FQP,KN,,Natural Gas,Basis Master,ICEU,IFED,Financial Gas,FQP
EP Permian Index Future,461,PEI,PEI,HL,SR09,Natural Gas,Southwest Index,ICEU,IFED,Financial Gas,PEI
EP Permian Swing Future,476,PES,PES,HM,SR14,Natural Gas,Southwest Swing,ICEU,IFED,Financial Gas,PES
EP SJ Blanco Pool Physical Basis LD1,2132,XVK,XVK,,,Natural Gas,EP-SJ MOPhy Gas,NGXC,IEPA,Physical Gas,XVK
EP SJ Blanco Pool Physical Fixed Price Monthly,2125,XVH,XVH,,,Natural Gas,EP-SJ MOPhy Gas,NGXC,IEPA,Physical Gas,XVH
EP SJ Blanco Pool Physical Fixed Price Spot,2127,XVG,XVG,,,Natural Gas,EP-SJ SPPhy Gas,NGXC,IEPA,Physical Gas,XVG
EP SJ Blanco Pool Physical Gas Daily Monthly,2128,XVJ,XVJ,,,Natural Gas,EP-SJ MOPhy Gas,NGXC,IEPA,Physical Gas,XVJ
EP SJ Blanco Pool Physical Gas Daily Spot,2130,XVI,XVI,,,Natural Gas,EP-SJ SPPhy Gas,NGXC,IEPA,Physical Gas,XVI
EP SJ Blanco Pool Physical Inside FERC,2131,XVL,XVL,,,Natural Gas,EP-SJ MOPhy Gas,NGXC,IEPA,Physical Gas,XVL
EP San Juan Basis Future,436,SNJ,SNJ,OB,NE94,Natural Gas,Southwest Basis,ICEU,IFED,Financial Gas,SNJ
EP San Juan Fixed Price Future,3713,OPU,OPU,SJ,,Natural Gas,Basis Master,ICEU,IFED,Financial Gas,OPU
EP San Juan Index Future,2444,SNI,SNI,QE,,Natural Gas,Southwest Index,ICEU,IFED,Financial Gas,SNI
EP San Juan Swing Future,471,SNS,SNS,QF,,Natural Gas,Southwest Swing,ICEU,IFED,Financial Gas,SNS
EP West Texas Basis Future,23580,EWB,EWB,N8,,Natural Gas,Southwest Basis,ICEU,IFED,Financial Gas,EWB
EP West Texas Index Future,23582,EWI,EWI,N9,,Natural Gas,Southwest Index,ICEU,IFED,Financial Gas,EWI
EP West Texas Swing Future,23583,EWS,EWS,N0,,Natural Gas,Southwest Swing,ICEU,IFED,Financial Gas,EWS
ERCOT Ancillary Services Non-Spin ATC Daily Fixed Price,5071,XOZ,XOZ,,,Electricity,ERCOT Spot,NGXC,IEPA,Power,XOZ
ERCOT Ancillary Services Non-Spin ATC Fixed Price,5072,XQU,XQU,,,Electricity,ERCOT Monthly,NGXC,IEPA,Power,XQU
ERCOT Ancillary Services Regulation Down ATC Daily Fixed Price,6321,XT0,XT0,,,Electricity,ERCOT Spot,NGXC,IEPA,Power,XT0
ERCOT Ancillary Services Regulation Down ATC Fixed Price,6320,XT1,XT1,,,Electricity,ERCOT Monthly,NGXC,IEPA,Power,XT1
ERCOT Ancillary Services Regulation Up ATC Daily Fixed Price,6323,XT2,XT2,,,Electricity,ERCOT Spot,NGXC,IEPA,Power,XT2
ERCOT Ancillary Services Regulation Up ATC Fixed Price,6322,XT3,XT3,,,Electricity,ERCOT Monthly,NGXC,IEPA,Power,XT3
ERCOT Ancillary Services Responsive Reserve Service ATC Daily Fixed Price,6325,XT4,XT4,,,Electricity,ERCOT Spot,NGXC,IEPA,Power,XT4
ERCOT Ancillary Services Responsive Reserve Service ATC Fixed Price,6324,XT5,XT5,,,Electricity,ERCOT Monthly,NGXC,IEPA,Power,XT5
ERCOT Capacity Responsive Reserve Future,5772,ECR,ECR,5*,,Electricity,ERCOT Pk Mini,ICEU,IFED,Financial Power,ECR
ERCOT Daily Load Future,5299,EDF,EDF,TF,,Electricity,ERCOT DailyLoad,ICEU,IFED,Financial Power,EDF
ERCOT Houston 345KV Day-Ahead Off-Peak Fixed Price Future,19493,EKI,EKI,B>,,Electricity,ERCOT OP Mini,ICEU,IFED,Financial Power,EKI
ERCOT Houston 345KV Day-Ahead Peak Fixed Price Future,19492,EKF,EKF,B\,,Electricity,ERCOT Pk Mini,ICEU,IFED,Financial Power,EKF
ERCOT Houston 345KV Hub Day-Ahead Off-Peak Daily Fixed Price Future,2638,HEC,HEC,N6,,Electricity,ERCOTOPDailyMin,ICEU,IFED,Financial Power,HEC
ERCOT Houston 345KV Hub Day-Ahead Peak Daily Fixed Price Future,2626,HEA,HEA,N5,,Electricity,ERCOTPkDailyMin,ICEU,IFED,Financial Power,HEA
ERCOT Houston 345KV Hub Real-Time Peak 7x16 Fixed Price Future,27026,EDK,EDK,,,Electricity,ERCOT Pk Mini,ICEU,IFED,Financial Power,EDK
ERCOT Houston 345KV Real-Time 7x8 Fixed Price Future,24239,ECJ,ECJ,Q<,,Electricity,ERCOT OP Mini,ICEU,IFED,Financial Power,ECJ
ERCOT Houston 345KV Real-Time Off-Peak Daily Fixed Price Future,1868,HED,HED,AI,SM96,Electricity,ERCOT OP Daily,ICEU,IFED,Financial Power,HED
ERCOT Houston 345KV Real-Time Off-Peak Fixed Price Future,1862,HEB,HEB,AE,SM92,Electricity,ERCOT OP Mini,ICEU,IFED,Financial Power,HEB
ERCOT Houston 345KV Real-Time Peak 2x16 Fixed Price Future,27020,EDB,EDB,,,Electricity,ERCOT Pk Mini,ICEU,IFED,Financial Power,EDB
ERCOT Houston 345KV Real-Time Peak Daily Fixed Price Future,1621,EHD,EHD,YJ,QM67,Electricity,ERCOT Pk Daily,ICEU,IFED,Financial Power,EHD
ERCOT Houston 345KV Real-Time Peak Fixed Price Future,542,ERH,ERH,PT,NO14,Electricity,ERCOT Pk Mini,ICEU,IFED,Financial Power,ERH
"ERCOT Houston 345kV Hub HE 0700-2200, 7x",19519,YFQ,YFQ,,,Electricity,ERCOT Monthly,NGXC,IEPA,Power,YFQ
"ERCOT Houston 345kV Hub HE 0700-2200, 7x Daily Fixed Price",19518,YFP,YFP,,,Electricity,ERCOT Spot,NGXC,IEPA,Power,YFP
"ERCOT Houston 345kV Hub HR HE 0700-2200, 7x",19550,YGX,YGX,,,Electricity,ERCOT Monthly,NGXC,IEPA,Power,YGX
ERCOT Houston 345kV Physical ATC Daily Fixed Price,5117,XOE,XOE,,,Electricity,ERCOT Spot,NGXC,IEPA,Power,XOE
ERCOT Houston 345kV Physical ATC Fixed Price,5116,XRU,XRU,,,Electricity,ERCOT Monthly,NGXC,IEPA,Power,XRU
ERCOT Houston 345kV Physical HE 0700-1100,18536,YCK,YCK,,,Electricity,ERCOT Monthly,NGXC,IEPA,Power,YCK
"ERCOT Houston 345kV Physical HE 1-6, 23, 24, 7x Daily Fixed Price",5114,XOG,XOG,,,Electricity,ERCOT Spot,NGXC,IEPA,Power,XOG
"ERCOT Houston 345kV Physical HE 1-6, 23, 24, 7x Fixed Price",5113,XPK,XPK,,,Electricity,ERCOT Monthly,NGXC,IEPA,Power,XPK
ERCOT Houston 345kV Physical HE 1000-1700 Fixed Price 5x,26456,Y1U,Y1U,,,Electricity,ERCOT Monthly,NGXC,IEPA,Power,Y1U
ERCOT Houston 345kV Physical HE 1000-1700 Fixed Price 5x Daily Fixed Price,26455,Y1T,Y1T,,,Electricity,ERCOT Spot,NGXC,IEPA,Power,Y1T
ERCOT Houston 345kV Physical HE 1000-1700 Fixed Price 7x,26448,Y1M,Y1M,,,Electricity,ERCOT Monthly,NGXC,IEPA,Power,Y1M
ERCOT Houston 345kV Physical HE 1000-1700 Fixed Price 7x Daily Fixed Price,26447,Y1L,Y1L,,,Electricity,ERCOT Spot,NGXC,IEPA,Power,Y1L
ERCOT Houston 345kV Physical HE 1200-2200 Daily Fixed Price,5093,XNY,XNY,,,Electricity,ERCOT Spot,NGXC,IEPA,Power,XNY
ERCOT Houston 345kV Physical HE 1200-2200 Fixed Price,5115,XSB,XSB,,,Electricity,ERCOT Monthly,NGXC,IEPA,Power,XSB
ERCOT Houston 345kV Physical HR ATC,5073,XRY,XRY,,,Electricity,ERCOT Monthly,NGXC,IEPA,Power,XRY
ERCOT Houston 345kV Physical HR HE 0700-1100,18541,YCP,YCP,,,Electricity,ERCOT Monthly,NGXC,IEPA,Power,YCP
"ERCOT Houston 345kV Physical HR HE 1-6, 23, 24, 7x",5077,XQD,XQD,,,Electricity,ERCOT Monthly,NGXC,IEPA,Power,XQD
ERCOT Houston 345kV Physical HR HE 1200-2200,5074,XQG,XQG,,,Electricity,ERCOT Monthly,NGXC,IEPA,Power,XQG
ERCOT Houston 345kV Physical HR HE 1700-2200,18553,YDB,YDB,,,Electricity,ERCOT Monthly,NGXC,IEPA,Power,YDB
ERCOT Houston 345kV Physical HR Off-Peak,5075,XQF,XQF,,,Electricity,ERCOT Monthly,NGXC,IEPA,Power,XQF
ERCOT Houston 345kV Physical HR Off-Peak Weekend HE 0700-2200,5076,XQE,XQE,,,Electricity,ERCOT Monthly,NGXC,IEPA,Power,XQE
ERCOT Houston 345kV Physical HR Peak HE 0700-2200,5078,XQC,XQC,,,Electricity,ERCOT Monthly,NGXC,IEPA,Power,XQC
ERCOT Houston 345kV Physical Off-Peak Daily Fixed Price,5143,XNZ,XNZ,,,Electricity,ERCOT Spot,NGXC,IEPA,Power,XNZ
ERCOT Houston 345kV Physical Off-Peak Fixed Price,5108,XPM,XPM,,,Electricity,ERCOT Monthly,NGXC,IEPA,Power,XPM
ERCOT Houston 345kV Physical Off-Peak Weekend HE 0700-2200 Daily Fixed Price,5111,XOF,XOF,,,Electricity,ERCOT Spot,NGXC,IEPA,Power,XOF
ERCOT Houston 345kV Physical Off-Peak Weekend HE 0700-2200 Fixed Price,5112,XPL,XPL,,,Electricity,ERCOT Monthly,NGXC,IEPA,Power,XPL
ERCOT Houston 345kV Physical Peak HE 0700-1100 Daily Fixed Price,18535,YCJ,YCJ,,,Electricity,ERCOT Spot,NGXC,IEPA,Power,YCJ
"ERCOT Houston 345kV Physical Peak HE 0700-1100,1700-2200 Daily Fixed Price",18566,YDO,YDO,,,Electricity,ERCOT Spot,NGXC,IEPA,Power,YDO
"ERCOT Houston 345kV Physical Peak HE 0700-1100,1700-2200 Fixed Price",18567,YDP,YDP,,,Electricity,ERCOT Monthly,NGXC,IEPA,Power,YDP
ERCOT Houston 345kV Physical Peak HE 0700-2200 Daily Fixed Price,5110,XOH,XOH,,,Electricity,ERCOT Spot,NGXC,IEPA,Power,XOH
ERCOT Houston 345kV Physical Peak HE 0700-2200 Fixed Price,5109,XPJ,XPJ,,,Electricity,ERCOT Monthly,NGXC,IEPA,Power,XPJ
ERCOT Houston 345kV Physical Peak HE 1700-2200 Daily Fixed Price,18546,YCU,YCU,,,Electricity,ERCOT Spot,NGXC,IEPA,Power,YCU
ERCOT Houston 345kV Physical Peak HE 1700-2200 Fixed Price,18547,YCV,YCV,,,Electricity,ERCOT Monthly,NGXC,IEPA,Power,YCV
ERCOT Houston LZ Physical  Peak HE 0700-2200 Fixed Price,5051,XQQ,XQQ,,,Electricity,ERCOT Monthly,NGXC,IEPA,Power,XQQ
ERCOT Houston LZ Physical ATC,6333,XS6,XS6,,,Electricity,ERCOT Monthly,NGXC,IEPA,Power,XS6
ERCOT Houston LZ Physical ATC Daily,6334,XS5,XS5,,,Electricity,ERCOT Spot,NGXC,IEPA,Power,XS5
ERCOT Houston LZ Physical Off-Peak Daily Fixed Price,5144,XRA,XRA,,,Electricity,ERCOT Spot,NGXC,IEPA,Power,XRA
ERCOT Houston LZ Physical Off-Peak Fixed Price,5049,XQR,XQR,,,Electricity,ERCOT Monthly,NGXC,IEPA,Power,XQR
ERCOT Houston LZ Physical Peak HE 0700-2200 Daily Fixed Price,5050,XOW,XOW,,,Electricity,ERCOT Spot,NGXC,IEPA,Power,XOW
ERCOT Houston Load Zone Day-Ahead Off-Peak Daily Fixed Price Future,2634,HZC,HZC,N8,,Electricity,ERCOTOPDailyMin,ICEU,IFED,Financial Power,HZC
ERCOT Houston Load Zone Day-Ahead Off-Peak Fixed Price Future,2614,HZD,HZD,M9,,Electricity,ERCOT OP Mini,ICEU,IFED,Financial Power,HZD
ERCOT Houston Load Zone Day-Ahead Peak Daily Fixed Price Future,2622,HZA,HZA,N7,,Electricity,ERCOTPkDailyMin,ICEU,IFED,Financial Power,HZA
ERCOT Houston Load Zone Day-Ahead Peak Fixed Price Future,2606,HZB,HZB,M8,,Electricity,ERCOT Pk Mini,ICEU,IFED,Financial Power,HZB
"ERCOT Houston Load Zone HE 0100-0600, 2300, 2400, 7x",19544,YGR,YGR,,,Electricity,ERCOT Spot,NGXC,IEPA,Power,YGR
"ERCOT Houston Load Zone HE 0100-0600, 2300, 2400, 7x",19545,YGS,YGS,,,Electricity,ERCOT Monthly,NGXC,IEPA,Power,YGS
ERCOT Houston Load Zone Off-Peak Weekend,19536,YGJ,YGJ,,,Electricity,ERCOT Spot,NGXC,IEPA,Power,YGJ
ERCOT Houston Load Zone Off-Peak Weekend,19537,YGK,YGK,,,Electricity,ERCOT Monthly,NGXC,IEPA,Power,YGK
ERCOT Houston Load Zone Real-Time Off-Peak Fixed Price Future,2453,OEH,OEH,QR,,Electricity,ERCOT OP Mini,ICEU,IFED,Financial Power,OEH
